timestamp_utc,timestamp_brt,nivel,n_focos,linhas_afetadas,estado,destinatario,status
2026-06-08 20:25:15,08/06/2026 17:25 BRT,CRÍTICO,28,"LT 500 kV Medeiros Neto II - João Neiva 2, C2; LT 500 kV Paracatu 4 - Nova Ponte 3, C2; LT 500 kV Luziânia - Pirapora 2 C1; LT 500 kV São João do Paraíso - Padre Paraíso 2, C1; LT 500 kV Jussiape - São João do Paraíso, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 20:45:24,08/06/2026 17:45 BRT,CRÍTICO,135,"LT 230 kV Teresina - Coelho Neto C1; LT 230 kV Teresina - Coelho Neto C1; LT 230 kV Teresina - Coelho Neto C1; LT 345 kV UTE GNA I - Campos, C1; LT 500 kV Poços de Caldas - Ribeirão Preto C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 21:13:49,08/06/2026 18:13 BRT,CRÍTICO,3,"LT 230 kV Maringá - Sarandi, C2; LT 440 kV Baguaçu - Bauru, C2; LT 230 kV Juba - Brasnorte C2",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 21:16:19,08/06/2026 18:16 BRT,CRÍTICO,22,"LT 525 kV Ivaiporã - Londrina (ESUL) C1; LT 600 kV Foz do Iguaçu - Ibiuna, C3; LT 600 kV Foz do Iguaçu - Ibiuna, C3; LT 230 kV Chavantes - Botucatu C3; LT 440 kV Assis - Sumaré C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 21:43:50,08/06/2026 18:43 BRT,CRÍTICO,1,"LT 500 kV Bom Jesus da Lapa II – Jaíba, C1 e C2 (CS)",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 22:04:13,08/06/2026 19:04 BRT,CRÍTICO,3,"LT 500 kV Barra II - Correntina, C1; LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 22:13:50,08/06/2026 19:13 BRT,CRÍTICO,4,"LT 230 kV Vilhena - Jauru, C3; LT 230 kV Vilhena - Jauru, C3; LT 230 kV Brasnorte - Nova Mutum C1; LT 230 kV Vilhena - Jauru, C3",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 22:23:50,08/06/2026 19:23 BRT,CRÍTICO,2,"LT 800 kV CC Xingu - Estreito; LT 500 kV Bom Jesus da Lapa II – Jaíba, C1 e C2 (CS)",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 22:34:14,08/06/2026 19:34 BRT,CRÍTICO,6,"LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 22:43:50,08/06/2026 19:43 BRT,CRÍTICO,1,LT 440 kV Araraquara CTP - Mirassol II C1,Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 22:53:51,08/06/2026 19:53 BRT,CRÍTICO,1,LT 800 kV CC Xingu - Estreito,Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 23:05:13,08/06/2026 20:05 BRT,CRÍTICO,3,"LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 23:23:53,08/06/2026 20:23 BRT,CRÍTICO,1,LT 800 kV CC Xingu - Estreito,Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 23:34:14,08/06/2026 20:34 BRT,CRÍTICO,1,"LT 500 kV Barra II - Correntina, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 23:35:14,08/06/2026 20:35 BRT,CRÍTICO,4,"LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 00:03:52,09/06/2026 21:03 BRT,CRÍTICO,1,"LT 500 kV Itatiba - Bateias, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 00:05:58,09/06/2026 21:05 BRT,CRÍTICO,2,"LT 800 kV CC Xingu - Terminal Rio, C1; LT 800 kV CC Xingu - Terminal Rio, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 00:35:59,09/06/2026 21:35 BRT,CRÍTICO,1,"LT 800 kV CC Xingu - Terminal Rio, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 01:06:11,09/06/2026 22:06 BRT,CRÍTICO,1,"LT 800 kV CC Xingu - Terminal Rio, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 01:23:53,09/06/2026 22:23 BRT,CRÍTICO,27,LT 500 kV Teresina II - Presidente Dutra C1; LT 500 kV Teresina II - Presidente Dutra C1; LT 500 kV Teresina II - Presidente Dutra C1; LT 230 kV Teresina - Coelho Neto C1; LT 230 kV Teresina - Coelho Neto C1,Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 01:43:53,09/06/2026 22:43 BRT,CRÍTICO,1,"LT 800 kV CC Xingu - Terminal Rio, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 01:53:46,09/06/2026 22:53 BRT,CRÍTICO,1,"LT 500 kV Marimbondo 2 - Araraquara FUR, C2",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 02:04:15,09/06/2026 23:04 BRT,CRÍTICO,15,LT 500 kV Marimbondo II – Campinas C1; LT 500 kV Marimbondo II – Campinas C1; LT 440 kV Ilha Solteira - Água Vermelha C1; LT 440 kV Ilha Solteira - Água Vermelha C1; LT 440 kV Araraquara CTP - Mirassol II C1,Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 02:15:14,09/06/2026 23:15 BRT,CRÍTICO,1,"LT 800 kV CC Xingu - Terminal Rio, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 03:46:28,09/06/2026 00:46 BRT,CRÍTICO,3,"LT 600 kV Coletora Porto Velho - Araraquara 2, C4; LT 230 kV Pimenta Bueno - Vilhena C1; LT 600 kV Coletora Porto Velho - Araraquara 2, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 06:16:28,09/06/2026 03:16 BRT,CRÍTICO,26,"LT 800 kV CC Xingu - Terminal Rio, C1; LT 500 kV Açu III - Quixadá, C1; LT 500 kV Açu III - Quixadá, C1; LT 500 kV Teresina II - Presidente Dutra C1; LT 500 kV Teresina II - Presidente Dutra C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 14:10:43,09/06/2026 11:10 BRT,CRÍTICO,20,LT 500 kV Teresina II - Presidente Dutra C1; LT 500 kV Teresina II - Presidente Dutra C1; LT 500 kV Teresina II - Presidente Dutra C1; LT 500 kV Rio Verde Norte - Itumbiara C1; LT 500 kV Rio Verde Norte - Itumbiara C1,Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 14:39:29,09/06/2026 11:39 BRT,ALTO,3,"LT 500 kV São João do Piauí - Boa Esperança C1; LT 500 kV Açailândia - Presidente Dutra C1; LT 500 kV Gilbués II - Miracema, C3",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 14:39:33,09/06/2026 11:39 BRT,ALTO,3,"LT 500 kV São João do Piauí - Boa Esperança C1; LT 500 kV Açailândia - Presidente Dutra C1; LT 500 kV Gilbués II - Miracema, C3",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 19:18:15,09/06/2026 16:18 BRT,CRÍTICO,148,"LT 500 kV Xingó – Camaçari II, C1 e C2 (CD); LT 500 kV São João do Piauí - Boa Esperança C1; LT 500 kV São João do Piauí - Boa Esperança C1; LT 500 kV Açu III - Quixadá, C1; LT 500 kV Teresina IV - Graça Aranha, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 19:48:21,09/06/2026 16:48 BRT,CRÍTICO,148,"LT 500 kV Xingó – Camaçari II, C1 e C2 (CD); LT 500 kV São João do Piauí - Boa Esperança C1; LT 500 kV São João do Piauí - Boa Esperança C1; LT 500 kV Açu III - Quixadá, C1; LT 500 kV Teresina IV - Graça Aranha, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-09 20:18:43,09/06/2026 17:18 BRT,CRÍTICO,93,"LT 500 kV Teresina IV - Graça Aranha, C1; LT 500 kV Teresina II - Presidente Dutra C1; LT 525 kV Capivari do Sul - Siderópolis 2, C1; SECC LT 525 kV Blumenau - Curitiba Leste, C1 (CD), na SE Joinville Sul; LT 525 kV Abdon Batista 2 - Curitiba Oeste, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
